Major.Min.Comp,Minor.Min.Comp1,Minor.Min.Comp2,Appraisal,Mass
HEMATITE,NEPTUNITE,RHODIZITE,2928.07,23.980700000000002
SCHORL,BOLEITE,ANDALUSITE,4512.92,68.6292
KOTTIGITE,DATOLITE,TREMOLITE,20536.87,224.7687
HUREAULITE,PLATINUM,BORNITE,9113.76,111.4376
PHLOGOPITE,HUREAULITE,DIAMOND,10385.68,96.9568
PHOSPHATES,PUCHERITE,HUMITE,10053.58,108.0358
ANDALUSITE,CORDYLITE,PYROMORPHITE,37488.73,397.5873
GORMANITE,BERLINITE,CACOXENITE,5552.29,73.6229
THOMSONITE,STURMANITE,HOWLITE,14565.11,154.05110000000002
HEULANDITE,OBSIDIAN,CACOXENITE,10782.31,121.92309999999999
SILICATES,ARAGONITE,PERIDOT,23194.09,240.3409
SAINFELDITE,RUBY,SMITHSONITE,3528.84,35.5884
CORDYLITE,PYROAURITE,SILVER,26107.52,276.3752
STELLERITE,THOMSONITE,CLEAVELANDITE,11952.15,133.1215
BIF,MARCASITE,PARAVAUXITE,9592.15,116.5215
DEMANTOID,ACANTHITE,PYROAURITE,16467.41,173.7741
ARAGONITE,CLINOHEDRITE,PHLOGOPITE,4681.2,65.612
ARTINITE,CUBANITE,MARCASITE,30350.62,318.8062
TELLURIUM,KOTTIGITE,DEMANTOID,5849.84,59.8984
KOTTIGITE,ALBITE,ANTIMONY,7817.56,85.2756
HOWLITE,ACANTHITE,TALC,18684.78,194.84779999999998
PLATINUM,NEPTUNITE,SUNSTONE,3988.18,46.5818
SAINFELDITE,HOPEITE,PERIDOT,23990.74,249.80740000000003
GIBBSITE,BASALT,GORMANITE,7697.88,87.17880000000001
CHLORITE,BROOKITE,ARSENIC,14840.83,160.10829999999999
GIBBSITE,MALACHITE,DEMANTOID,7326.5,84.465
PARAVAUXITE,CUBANITE,PUCHERITE,9060.12,113.7012
THOMSONITE,ARTINITE,NEPTUNITE,7665.79,86.8579
SILICATES,ACANTHITE,STURMANITE,7742.75,94.22749999999999
TREMOLITE,ARSENIC,ROSE_QUARTZ,9715.74,96.6574
ANDESINE,SENARMONTITE,BROOKITE,828.47,36.5847
RHODIZITE,CLINOHEDRITE,SCHORL,3760.93,28.7093
SCORODITE,HEMATITE,DIAMOND,16987.88,176.4788
TREMOLITE,CHRYSOBERYL,ARTINITE,9170.02,105.70020000000001
ALMANDINE,GIBBSITE,HEULANDITE,2177.21,25.372100000000003
CLEAVELANDITE,TAAFFEITE,ICE,9765.76,81.7576
TELLURIUM,CLINOPTILOLITE,BERLINITE,11387.8,130.678
CLEAVELANDITE,TREMOLITE,CARNOTITE,13699.65,154.2965
DESCLOIZITE,CACOXENITE,NICKELINE,8343.28,100.2328
SUNSTONE,BARATOVITE,BIF,31008.92,322.9892
PLATINUM,ILVAITE,BERLINITE,3941.83,35.8183
ERIONITE,HOWLITE,CORDYLITE,16615.58,165.75580000000002
STELLERITE,KOVDORSKITE,BIF,26830.72,283.7072
PUCHERITE,COAL,BLODITE,13805.41,140.9541
CUMMINGTONITE,OBSIDIAN,ALBITE,28195.94,295.65939999999995
BLODITE,ACANTHITE,CUMMINGTONITE,7353.59,105.2359
OBSIDIAN,PHOSPHATES,MELANOPHLOGITE,1499.76,8.9976
SEMSEYITE,HUREAULITE,ARFVEDSONITE,18431.03,197.51029999999997
SINHALITE,PYROMORPHITE,BARATOVITE,4123.71,66.0371
HEULANDITE,TELLURIUM,TAAFFEITE,5493.79,52.8379
ARTINITE,CLINOPTILOLITE,PARAVAUXITE,10285.61,118.85610000000001
GAYLUSSITE,STELLERITE,BROOKITE,459.81,1.0980999999999996
ARFVEDSONITE,ANTIMONY,BASALT,32809.96,344.69960000000003
BORAX,SCORODITE,ENSTATITE,8246.64,100.6664
PARASYMPLESITE,OBSIDIAN,PYROMORPHITE,13417.26,154.9726
MELANOPHLOGITE,SCORODITE,ROSASITE,14138.71,160.18710000000002
PYROAURITE,GIBBSITE,STELLERITE,177.65,15.576500000000001
DEMANTOID,ARSENIC,ROSASITE,23727.6,242.27599999999998
THOMSONITE,ALBITE,OBSIDIAN,24361.25,250.41250000000002
HOWLITE,TELLURIUM,BOURNONITE,16155.69,179.5569
CHRYSOBERYL,CUMMINGTONITE,BOURNONITE,6758.62,85.5862
SCHORL,SILVER,ANDERSONITE,2730.66,38.4066
GAYLUSSITE,HOPEITE,CLINOPTILOLITE,31963.48,339.03479999999996
KOVDORSKITE,RUBY,DESCLOIZITE,19203.59,182.7359
ERIONITE,CARNOTITE,KOVDORSKITE,33102.95,332.7295
CUMMINGTONITE,BOURNONITE,BORNITE,4150.25,49.1025
SILVER,PERIDOT,SYLVITE,27775.94,282.75939999999997
ALMANDINE,ARTINITE,SENARMONTITE,13502.44,154.7244
BASALT,CLINOHEDRITE,PHLOGOPITE,20856.59,213.1659
DEMANTOID,BORAX,BOURNONITE,14396.72,146.06719999999999
ERIONITE,SULFUR,SYLVITE,10022.64,84.32639999999999
ICE,SYLVITE,ROSE_QUARTZ,21392.21,211.2221
CLEAVELANDITE,ALTAITE,PARISITE,35576.88,358.7688
SINHALITE,ICE,HEULANDITE,23211.24,245.91240000000002
DEMANTOID,PYROAURITE,HOWLITE,14903.42,153.7342
CUBANITE,BERLINITE,PHLOGOPITE,16790.84,175.3084
PHLOGOPITE,ARAGONITE,BLODITE,17467.74,180.2774
SINHALITE,KUNZITE,SMITHSONITE,979.83,1.0983000000000018
SAINFELDITE,ARSENIC,HEMATITE,2235.85,28.0585
ARSENIC,ACANTHITE,BIF,20201,204.01
ILVAITE,ANDESINE,ERIONITE,23751.49,251.0149
GEODES,SCHORL,ANTIMONY,2874.64,38.846399999999996
HEULANDITE,BORNITE,CLINOPTILOLITE,17366.78,188.2678
SYLVITE,OBSIDIAN,ENSTATITE,12129.54,117.89540000000001
KOVDORSKITE,HOPEITE,BERLINITE,6345.52,74.35520000000001
SCORODITE,ICE,ALTAITE,1779.82,20.198199999999996
SULFUR,CORDYLITE,BIF,21846.95,234.4695
HUREAULITE,BOLEITE,STURMANITE,4155.97,53.359700000000004
STURMANITE,TALC,PYROMORPHITE,10429.5,88.395
PYROAURITE,GMELINITE,SELENITE,16506.03,181.8603
SAINFELDITE,OBSIDIAN,PYROMORPHITE,15400.99,186.10989999999998
CUBANITE,ARSENIC,GORMANITE,2412.33,19.1233
ANDERSONITE,SUNSTONE,SAINFELDITE,8635.16,85.9516
SCORODITE,KUNZITE,TREMOLITE,1564.57,38.4457
CLINOHEDRITE,KUNZITE,TALC,15241.8,164.21800000000002
SCORODITE,BROOKITE,GORMANITE,15201.46,178.4146
CLINOHEDRITE,NICKELINE,SCORODITE,13182.04,147.5204
BERLINITE,ANDALUSITE,KUNZITE,4484.89,59.7489
PARASYMPLESITE,GMELINITE,HUREAULITE,2558.54,34.9854
CUBANITE,GMELINITE,KUNZITE,4514.55,63.8455
ALTAITE,CUBANITE,DIOPSIDE,4819.85,38.49850000000001
OSUMILITE,ROSE_QUARTZ,HOWLITE,1547.41,23.4741
ERIONITE,CLINOHEDRITE,DESCLOIZITE,6345.86,83.3586
ANDESINE,TALC,BROOKITE,8047.95,93.6795
BARATOVITE,DIOPSIDE,GIBBSITE,4591.95,74.5195
BOURNONITE,BLODITE,HINSDALITE,6004.69,76.4469
RHODIZITE,ERIONITE,ARTINITE,19201.43,212.71429999999998
CLINOHEDRITE,PARASYMPLESITE,PARAVAUXITE,9631.37,102.01370000000001
HOPEITE,NICKELINE,SCHORL,30695.63,296.0563
SENARMONTITE,HINSDALITE,CLEAVELANDITE,7416.08,76.96079999999999
TREMOLITE,SCORODITE,SILVER,13722.93,151.3293
NEPHELINE,STELLERITE,CLINOPTILOLITE,6301.69,79.4169
BORAX,SCORODITE,BASALT,14490.74,169.3074
HOWLITE,SILVER,BIF,15272.24,148.92239999999998
ROSASITE,ALTAITE,SENARMONTITE,20174.92,193.04919999999998
CLEAVELANDITE,GMELINITE,TELLURIUM,8021.67,97.11670000000001
HOWLITE,THOMSONITE,OBSIDIAN,1746.81,28.0681
CLINOHEDRITE,MALACHITE,BORNITE,1408.52,29.3852
SILVER,SEMSEYITE,ILVAITE,1807.85,28.3785
FLUORAPATITE,BERLINITE,SELENITE,12879.9,143.299
GAYLUSSITE,OSUMILITE,DIOPSIDE,6766.7,79.767
BOURNONITE,ANTIMONY,HUMITE,7034.07,82.8407
CLINOHEDRITE,BLODITE,SENARMONTITE,32734.95,340.14950000000005
OBSIDIAN,ANDALUSITE,CLINOPTILOLITE,13828.15,139.0815
HOWLITE,COAL,BASALT,5531.51,71.8151
PERIDOT,DIAMOND,CUMMINGTONITE,10272.49,118.72489999999999
PARASYMPLESITE,BORNITE,ALTAITE,20659.41,218.1941
RUBY,PHLOGOPITE,GORMANITE,9976.86,110.2686
PARASYMPLESITE,NEPHELINE,CHLORITE,11181.16,106.6116
GAYLUSSITE,PUCHERITE,PHOSPHATES,33539.54,329.0954
NICKELINE,PLATINUM,CLINOPTILOLITE,20417.94,202.5794
ALMANDINE,BIF,BLODITE,2608.82,33.8882
STURMANITE,ERIONITE,TREMOLITE,15673.48,183.3348
STELLERITE,ROSE_QUARTZ,BORNITE,17688.98,180.4898
BORAX,NEPHELINE,BOURNONITE,10472.63,113.9263
STELLERITE,GORMANITE,THOMSONITE,9932.17,110.4217
ARTINITE,PUCHERITE,ERIONITE,7230.21,72.2021
SILVER,CACOXENITE,OSUMILITE,13490.02,145.4002
CHRYSOBERYL,PLATINUM,PARAVAUXITE,4734.01,64.4401
MELANOPHLOGITE,PARISITE,ANDESINE,15180.56,170.9056
DEMANTOID,ALTAITE,PERIDOT,2040.22,33.8022
ARAGONITE,STURMANITE,GIBBSITE,10508.62,128.1862
PARASYMPLESITE,CUBANITE,CHRYSOBERYL,22503.94,231.5394
BOURNONITE,ACANTHITE,OSUMILITE,13614.68,172.9468
ANTIMONY,TALC,HUREAULITE,9432.56,122.4256
TELLURIUM,STELLERITE,STURMANITE,4279.92,60.2992
ANDESINE,GORMANITE,GEODES,16385.43,162.9543
HUMITE,MALACHITE,KOVDORSKITE,13320.03,135.8003
GAYLUSSITE,ANTIMONY,RUBY,3161.33,18.0133
ROSASITE,PHLOGOPITE,BOURNONITE,9502.14,120.9214
SAINFELDITE,CHLORITE,PYROAURITE,3968.35,60.48350000000001
PUCHERITE,ACANTHITE,SUNSTONE,26342.84,269.6284
SELENITE,SYLVITE,RHODIZITE,35934.69,369.6469
CUBANITE,GIBBSITE,PYROMORPHITE,6399.45,44.2945
CHRYSOBERYL,CACOXENITE,CHLORITE,16668.18,159.1818
SAINFELDITE,FLUORAPATITE,SUNSTONE,19997.6,210.576
SINHALITE,BOLEITE,GIBBSITE,27520.29,278.4029
SILVER,GMELINITE,GAYLUSSITE,9485.4,105.754
SINHALITE,CLEAVELANDITE,SYLVITE,415.71,21.0571
SAINFELDITE,HINSDALITE,HOWLITE,15687.79,150.77790000000002
KOVDORSKITE,STURMANITE,GIBBSITE,4790.99,65.3099
ALBITE,RHODIZITE,PHOSPHATES,14510.49,150.1049
BARATOVITE,PARISITE,HOPEITE,12453.89,123.9389
SCORODITE,KOTTIGITE,BORNITE,4063.98,46.0398
ROSE_QUARTZ,HEMATITE,KOVDORSKITE,14511.19,142.21189999999999
SENARMONTITE,ARSENIC,TAAFFEITE,25.33,27.7533
THOMSONITE,CARNOTITE,SENARMONTITE,11551.52,138.7152
CORDYLITE,PUCHERITE,SINHALITE,6789.01,72.6901
TELLURIUM,PHOSPHATES,HUREAULITE,14165.21,161.9521
GMELINITE,SCORODITE,BARATOVITE,10802.48,131.6248
ENSTATITE,BLODITE,NICKELINE,12357.17,127.1717
ROSASITE,SUNSTONE,SILVER,7890.28,86.6028
BASALT,ILVAITE,CACOXENITE,14594.75,137.54749999999999
ANDALUSITE,ARAGONITE,RUBY,10075.63,101.2563
HUREAULITE,ALMANDINE,DIOPSIDE,4514.47,45.1447
MELANOPHLOGITE,ALMANDINE,SYLVITE,7708.49,88.3849
COAL,GAYLUSSITE,DESCLOIZITE,26825.34,254.4534
PYROAURITE,ICE,BERLINITE,12718.87,129.1887
ERIONITE,CHLORITE,SELENITE,15350.87,164.0087
ARSENIC,ROSASITE,SCHORL,10608.97,120.7897
RUBY,SEMSEYITE,STELLERITE,37219.82,381.09819999999996
CACOXENITE,MALACHITE,SILVER,11757.79,124.97790000000002
SCORODITE,CLEAVELANDITE,MALACHITE,5835.09,61.550900000000006
SINHALITE,BERLINITE,BIF,28345.37,314.65369999999996
CUMMINGTONITE,FLUORAPATITE,TALC,1570.2,9.501999999999999
PERIDOT,PYROMORPHITE,GORMANITE,13128.43,126.2843
ARFVEDSONITE,PUCHERITE,TELLURIUM,21323.03,223.8303
SEMSEYITE,BORAX,ROSE_QUARTZ,1103.85,2.7384999999999984
BASALT,BOURNONITE,PARAVAUXITE,2663.33,42.7333
DESCLOIZITE,TREMOLITE,CARNOTITE,9975.59,115.4559
NEPTUNITE,BARATOVITE,PHOSPHATES,30072.89,325.82890000000003
BORAX,CUMMINGTONITE,SINHALITE,5271.42,58.9142
KUNZITE,SUNSTONE,ENSTATITE,5897.12,82.9712
CUBANITE,CUMMINGTONITE,BROOKITE,5289.14,70.4914
ALMANDINE,ANDESINE,MARCASITE,11173.25,117.9325
ANDESINE,ALMANDINE,DATOLITE,28511.85,310.8185
SMITHSONITE,CLINOHEDRITE,ANDERSONITE,22923.87,251.8387
TAAFFEITE,TREMOLITE,ROSE_QUARTZ,11641.54,111.7154
BLODITE,RUBY,CLINOHEDRITE,36717.53,366.3753
BOLEITE,ARFVEDSONITE,HUREAULITE,17300.48,178.3048
HEULANDITE,HINSDALITE,DESCLOIZITE,20662.1,213.12099999999998
ENSTATITE,BOLEITE,NEPHELINE,11544.61,123.7461
BLODITE,SMITHSONITE,HUREAULITE,6934.52,77.3452
RUBY,BOURNONITE,SCORODITE,11748.85,134.3885
KOVDORSKITE,GORMANITE,BORAX,1966.24,27.462400000000002
FLUORAPATITE,ERIONITE,SILICATES,10520.37,102.10370000000002
GAYLUSSITE,BLODITE,ANDALUSITE,9401.82,121.7182
ARAGONITE,GEODES,CUBANITE,20545.3,203.153
GMELINITE,CUBANITE,ARSENIC,14533.24,166.9324
NEPHELINE,ALBITE,MALACHITE,34325.28,348.45279999999997
ANDALUSITE,SMITHSONITE,SUNSTONE,6097.06,60.970600000000005
CUBANITE,TELLURIUM,ANTIMONY,19633.1,201.43099999999998
BOLEITE,CORDYLITE,ILVAITE,13713.02,152.4302
ACANTHITE,CLINOPTILOLITE,PHOSPHATES,2201.55,33.615500000000004
HINSDALITE,HUMITE,BROOKITE,31906.04,335.0604
CHLORITE,ROSASITE,DEMANTOID,305.66,7.956600000000001
BIF,KOVDORSKITE,COAL,2630.98,25.1098
ARSENIC,BIF,BERLINITE,10902.94,126.1294
SEMSEYITE,BOURNONITE,DEMANTOID,4342.5,56.324999999999996
STURMANITE,TREMOLITE,ROSASITE,422.23,31.0223
PUCHERITE,CHRYSOBERYL,THOMSONITE,14339.81,153.7981
PLATINUM,CHRYSOBERYL,BOURNONITE,4234.54,62.0454
NEPHELINE,ILVAITE,PARASYMPLESITE,17389.24,180.9924
PUCHERITE,SUNSTONE,SINHALITE,11332.51,117.1251
SELENITE,PUCHERITE,ICE,707.75,39.0775
CACOXENITE,KUNZITE,DIOPSIDE,14149.74,163.3974
TREMOLITE,PARISITE,ARSENIC,3639.64,59.8964
ROSE_QUARTZ,BOURNONITE,CARNOTITE,36926.43,378.7643
GAYLUSSITE,CHLORITE,TELLURIUM,13800.06,142.0006
BARATOVITE,MARCASITE,KUNZITE,2045.4,14.754000000000001
DESCLOIZITE,SINHALITE,FLUORAPATITE,38281.55,402.81550000000004
HOPEITE,CUBANITE,ENSTATITE,9337.62,101.17620000000001
CLEAVELANDITE,SILICATES,SMITHSONITE,13044.05,137.54049999999998
CUMMINGTONITE,HOWLITE,KUNZITE,7420.81,78.3081
SMITHSONITE,OSUMILITE,CUBANITE,24024.35,254.84349999999998
PARASYMPLESITE,HUREAULITE,MALACHITE,14469.26,156.8926
ANTIMONY,KOTTIGITE,GAYLUSSITE,30504.3,330.343
BIF,FLUORAPATITE,RHODIZITE,17155.42,191.15419999999997
RUBY,SCHORL,DIOPSIDE,11015.12,113.3512
SMITHSONITE,SILVER,NEPHELINE,12100.19,120.40190000000001
OSUMILITE,FLUORAPATITE,STELLERITE,6319.21,76.19210000000001
BOLEITE,ILVAITE,HINSDALITE,982.01,28.0201
ANTIMONY,BORNITE,HEULANDITE,14497.32,162.07319999999999
CHLORITE,ILVAITE,PHOSPHATES,4142.64,44.3264
BOURNONITE,DEMANTOID,ENSTATITE,16115.15,171.9515
OBSIDIAN,ROSE_QUARTZ,OSUMILITE,665.3,9.453
GEODES,GAYLUSSITE,CARNOTITE,16504.99,171.7499
SYLVITE,BLODITE,HUMITE,1885.95,30.259500000000003
PARISITE,HINSDALITE,SULFUR,11374.61,125.24610000000001
TALC,CUBANITE,ANDALUSITE,45341.17,468.3117
PARISITE,NEPHELINE,STURMANITE,620.92,11.2092
SCORODITE,STELLERITE,DEMANTOID,25416.54,271.9654
GORMANITE,SYLVITE,ILVAITE,5820.96,68.0096
NEPHELINE,BIF,ANTIMONY,10853.89,130.2389
ALTAITE,CHLORITE,FLUORAPATITE,2895.37,34.253699999999995
SUNSTONE,HUREAULITE,BORNITE,14507.32,146.07319999999999
BARATOVITE,STELLERITE,HEMATITE,7052.64,80.22640000000001
SAINFELDITE,ANDALUSITE,OBSIDIAN,13429.39,155.7939
MARCASITE,ARSENIC,GMELINITE,4955.56,54.3556
OBSIDIAN,ANDESINE,NEPTUNITE,2203.29,38.832899999999995
CUBANITE,TAAFFEITE,NEPTUNITE,28796.17,288.06170000000003
BIF,OSUMILITE,CACOXENITE,27944.55,285.5455
TALC,SAINFELDITE,NICKELINE,10880.91,128.2091
RHODIZITE,SMITHSONITE,PUCHERITE,17133.62,179.93619999999999
SENARMONTITE,SEMSEYITE,HEMATITE,24411.53,262.7153
THOMSONITE,KUNZITE,BORNITE,4090.41,59.2041
GIBBSITE,MALACHITE,HUMITE,20151.6,218.416
DIOPSIDE,TAAFFEITE,KOTTIGITE,39289.28,388.29279999999994
HEULANDITE,CARNOTITE,PARAVAUXITE,20607.76,218.27759999999998
CLINOHEDRITE,STELLERITE,CHLORITE,18625.4,203.954
COAL,SEMSEYITE,SAINFELDITE,161.54,19.8154
CLINOPTILOLITE,HUMITE,CLINOHEDRITE,142.81,18.9281
ANDALUSITE,PHLOGOPITE,ACANTHITE,9660.38,100.70379999999999
SEMSEYITE,DEMANTOID,ARSENIC,18170.53,182.2053
ROSASITE,MALACHITE,BLODITE,7095.43,68.85430000000001
SCORODITE,CACOXENITE,PLATINUM,2787.2,15.572
ACANTHITE,DIOPSIDE,GORMANITE,31804.92,307.1492
CLEAVELANDITE,PHLOGOPITE,SENARMONTITE,8626.26,91.66260000000001
GORMANITE,OBSIDIAN,GMELINITE,13348.98,148.6898
HINSDALITE,GMELINITE,HOWLITE,2977.04,40.6704
MARCASITE,BASALT,CLEAVELANDITE,8444.99,105.2499
HOWLITE,TALC,DIAMOND,24223.32,242.9332
CLEAVELANDITE,PARISITE,ARSENIC,37082.44,393.42440000000005
RHODIZITE,ALBITE,DATOLITE,7854.79,98.9479
GAYLUSSITE,NICKELINE,HUREAULITE,135.34,16.6534
DEMANTOID,TAAFFEITE,ROSASITE,4383.56,67.0356
BORAX,ENSTATITE,GEODES,20313.07,219.23069999999998
CLINOHEDRITE,CLEAVELANDITE,BOLEITE,12692.4,126.42399999999999
ANDESINE,MALACHITE,ICE,24457.1,245.571
CHLORITE,SMITHSONITE,THOMSONITE,3724.2,61.542
ACANTHITE,CLEAVELANDITE,SINHALITE,9402.49,119.2249
CORDYLITE,CHRYSOBERYL,BIF,6881.83,99.41829999999999
GAYLUSSITE,ARAGONITE,PARASYMPLESITE,12507.5,134.875
PARAVAUXITE,BORNITE,CUBANITE,5470.61,76.20609999999999
TELLURIUM,BORNITE,SCHORL,11856.37,133.6637
NICKELINE,DEMANTOID,ANDESINE,11135.51,134.1551
GAYLUSSITE,ARTINITE,CARNOTITE,3973.18,57.031800000000004
GEODES,BORAX,CACOXENITE,27153.08,300.0308
PYROMORPHITE,ALTAITE,BIF,24184.08,247.44080000000002
CLINOPTILOLITE,BORNITE,OBSIDIAN,1508.41,36.1841
ROSASITE,PARISITE,PYROAURITE,8028.72,84.2872
STELLERITE,BORAX,SULFUR,23034.36,229.8436
ARFVEDSONITE,ANDALUSITE,SEMSEYITE,32276.44,342.0644
CHRYSOBERYL,ERIONITE,ENSTATITE,8539.44,104.09440000000001
CUMMINGTONITE,ERIONITE,SMITHSONITE,7351.23,93.6123
BARATOVITE,ALTAITE,GEODES,2351.19,25.0119
SINHALITE,KOVDORSKITE,ALBITE,17172.5,175.225
CACOXENITE,COAL,SILVER,265.35,14.653500000000001
ALMANDINE,SILVER,SCHORL,4416.69,51.7669
GMELINITE,SUNSTONE,DIAMOND,7048.41,80.6841
PARISITE,ARFVEDSONITE,CHRYSOBERYL,7510.76,81.50760000000001
RHODIZITE,PARAVAUXITE,GIBBSITE,1587.74,17.3774
DIOPSIDE,CHLORITE,SYLVITE,9820.14,104.6014
DEMANTOID,DIOPSIDE,SINHALITE,17397.75,200.7775
NICKELINE,CARNOTITE,CHLORITE,11182.04,123.3204
HUMITE,MELANOPHLOGITE,BOURNONITE,23723.26,252.1326
PHOSPHATES,CHRYSOBERYL,PYROAURITE,3330.41,52.004099999999994
ALMANDINE,HINSDALITE,ARFVEDSONITE,12834.19,150.5419
KUNZITE,SEMSEYITE,DIAMOND,2341.01,45.6101
PHOSPHATES,ICE,PUCHERITE,9131.31,104.5131
BIF,PHOSPHATES,STELLERITE,1421.03,14.4103
ARFVEDSONITE,ALTAITE,HEULANDITE,23588.92,262.4892
DEMANTOID,BOLEITE,BROOKITE,26602.49,266.4249
CACOXENITE,SUNSTONE,CUMMINGTONITE,2134.55,30.0455
BLODITE,CUMMINGTONITE,KOTTIGITE,21212.19,232.62189999999998
ARTINITE,BLODITE,HEULANDITE,10236.54,130.6654
SEMSEYITE,BROOKITE,GMELINITE,7176.94,70.6694
CUMMINGTONITE,SCHORL,SILICATES,1617.89,33.4789
PLATINUM,MALACHITE,SAINFELDITE,12245.78,125.4578
ALBITE,SULFUR,GEODES,3252.82,40.7282
GORMANITE,ILVAITE,NEPTUNITE,6272.14,79.6214
ALBITE,CLINOHEDRITE,SULFUR,6925.47,87.4547
ANDESINE,SYLVITE,GEODES,7347.66,87.5766
GMELINITE,ACANTHITE,PLATINUM,23357.16,232.67159999999998
GORMANITE,FLUORAPATITE,BIF,1920.09,43.3009
COAL,BARATOVITE,KOVDORSKITE,9775.53,109.45530000000001
ALBITE,TAAFFEITE,SCORODITE,12340.69,130.1069
CLEAVELANDITE,CUMMINGTONITE,COAL,16913.49,181.43490000000003
PYROAURITE,COAL,CARNOTITE,22389.1,238.891
SYLVITE,CORDYLITE,NICKELINE,4098.22,38.482200000000006
PHLOGOPITE,COAL,PYROMORPHITE,28290.49,298.8049
HUMITE,CHRYSOBERYL,ARSENIC,11980.75,128.8075
HINSDALITE,KUNZITE,ROSE_QUARTZ,444.96,13.0496
ANDERSONITE,SELENITE,NEPTUNITE,774.17,24.2417
ARTINITE,HUMITE,KOTTIGITE,3009.48,44.1948
ALBITE,BIF,ENSTATITE,19372.89,216.72889999999998
ENSTATITE,TAAFFEITE,PYROAURITE,4787.01,50.7701
NICKELINE,HINSDALITE,HOWLITE,24564.6,244.34599999999998
ARSENIC,CARNOTITE,HEMATITE,17148.94,188.8894
DEMANTOID,ROSE_QUARTZ,BROOKITE,20953.79,239.33790000000002
CLINOHEDRITE,SUNSTONE,ALTAITE,19276.16,215.36159999999998
SUNSTONE,ALTAITE,SELENITE,26044.59,281.5459
