Appraisal,Mass,Major.Min.Comp,Minor.Min.Comp1,Minor.Min.Comp2
4512.75,63.0275,BLODITE,SELENITE,ENSTATITE
32184.7,334.547,ALBITE,CUBANITE,GMELINITE
4872.47,53.7247,COAL,RUBY,PARASYMPLESITE
5689.75,74.5975,NEPHELINE,GORMANITE,CUBANITE
5246.79,65.2679,HEULANDITE,BIF,PLATINUM
9154.85,91.9485,NICKELINE,ANDERSONITE,OBSIDIAN
6845.99,89.6599,CACOXENITE,HUREAULITE,PHLOGOPITE
2928.07,23.9807,HEMATITE,NEPTUNITE,RHODIZITE
4512.92,68.6292,SCHORL,BOLEITE,ANDALUSITE
20536.87,224.7687,KOTTIGITE,DATOLITE,TREMOLITE
9113.76,111.4376,HUREAULITE,PLATINUM,BORNITE
10385.68,96.9568,PHLOGOPITE,HUREAULITE,DIAMOND
10053.58,108.0358,PHOSPHATES,PUCHERITE,HUMITE
37488.73,397.5873,ANDALUSITE,CORDYLITE,PYROMORPHITE
5552.29,73.6229,GORMANITE,BERLINITE,CACOXENITE
14565.11,154.0511,THOMSONITE,STURMANITE,HOWLITE
10782.31,121.9231,HEULANDITE,OBSIDIAN,CACOXENITE
23194.09,240.3409,SILICATES,ARAGONITE,PERIDOT
3528.84,35.5884,SAINFELDITE,RUBY,SMITHSONITE
26107.52,276.3752,CORDYLITE,PYROAURITE,SILVER
11952.15,133.1215,STELLERITE,THOMSONITE,CLEAVELANDITE
9592.15,116.5215,BIF,MARCASITE,PARAVAUXITE
16467.41,173.7741,DEMANTOID,ACANTHITE,PYROAURITE
4681.2,65.612,ARAGONITE,CLINOHEDRITE,PHLOGOPITE
30350.62,318.8062,ARTINITE,CUBANITE,MARCASITE
5849.84,59.8984,TELLURIUM,KOTTIGITE,DEMANTOID
7817.56,85.2756,KOTTIGITE,ALBITE,ANTIMONY
18684.78,194.8478,HOWLITE,ACANTHITE,TALC
3988.18,46.5818,PLATINUM,NEPTUNITE,SUNSTONE
23990.74,249.8074,SAINFELDITE,HOPEITE,PERIDOT
7697.88,87.1788,GIBBSITE,BASALT,GORMANITE
14840.83,160.1083,CHLORITE,BROOKITE,ARSENIC
7326.5,84.465,GIBBSITE,MALACHITE,DEMANTOID
9060.12,113.7012,PARAVAUXITE,CUBANITE,PUCHERITE
7665.79,86.8579,THOMSONITE,ARTINITE,NEPTUNITE
7742.75,94.2275,SILICATES,ACANTHITE,STURMANITE
9715.74,96.6574,TREMOLITE,ARSENIC,ROSE_QUARTZ
828.47,36.5847,ANDESINE,SENARMONTITE,BROOKITE
3760.93,28.7093,RHODIZITE,CLINOHEDRITE,SCHORL
16987.88,176.4788,SCORODITE,HEMATITE,DIAMOND
9170.02,105.7002,TREMOLITE,CHRYSOBERYL,ARTINITE
2177.21,25.3721,ALMANDINE,GIBBSITE,HEULANDITE
9765.76,81.7576,CLEAVELANDITE,TAAFFEITE,ICE
11387.8,130.678,TELLURIUM,CLINOPTILOLITE,BERLINITE
13699.65,154.2965,CLEAVELANDITE,TREMOLITE,CARNOTITE
8343.28,100.2328,DESCLOIZITE,CACOXENITE,NICKELINE
31008.92,322.9892,SUNSTONE,BARATOVITE,BIF
3941.83,35.8183,PLATINUM,ILVAITE,BERLINITE
16615.58,165.7558,ERIONITE,HOWLITE,CORDYLITE
26830.72,283.7072,STELLERITE,KOVDORSKITE,BIF
13805.41,140.9541,PUCHERITE,COAL,BLODITE
28195.94,295.6594,CUMMINGTONITE,OBSIDIAN,ALBITE
7353.59,105.2359,BLODITE,ACANTHITE,CUMMINGTONITE
1499.76,8.9976,OBSIDIAN,PHOSPHATES,MELANOPHLOGITE
18431.03,197.5103,SEMSEYITE,HUREAULITE,ARFVEDSONITE
4123.71,66.0371,SINHALITE,PYROMORPHITE,BARATOVITE
5493.79,52.8379,HEULANDITE,TELLURIUM,TAAFFEITE
10285.61,118.8561,ARTINITE,CLINOPTILOLITE,PARAVAUXITE
459.81,1.0981,GAYLUSSITE,STELLERITE,BROOKITE
32809.96,344.6996,ARFVEDSONITE,ANTIMONY,BASALT
8246.64,100.6664,BORAX,SCORODITE,ENSTATITE
13417.26,154.9726,PARASYMPLESITE,OBSIDIAN,PYROMORPHITE
14138.71,160.1871,MELANOPHLOGITE,SCORODITE,ROSASITE
177.65,15.5765,PYROAURITE,GIBBSITE,STELLERITE
23727.6,242.276,DEMANTOID,ARSENIC,ROSASITE
24361.25,250.4125,THOMSONITE,ALBITE,OBSIDIAN
16155.69,179.5569,HOWLITE,TELLURIUM,BOURNONITE
6758.62,85.5862,CHRYSOBERYL,CUMMINGTONITE,BOURNONITE
2730.66,38.4066,SCHORL,SILVER,ANDERSONITE
31963.48,339.0348,GAYLUSSITE,HOPEITE,CLINOPTILOLITE
19203.59,182.7359,KOVDORSKITE,RUBY,DESCLOIZITE
33102.95,332.7295,ERIONITE,CARNOTITE,KOVDORSKITE
4150.25,49.1025,CUMMINGTONITE,BOURNONITE,BORNITE
27775.94,282.7594,SILVER,PERIDOT,SYLVITE
13502.44,154.7244,ALMANDINE,ARTINITE,SENARMONTITE
20856.59,213.1659,BASALT,CLINOHEDRITE,PHLOGOPITE
14396.72,146.0672,DEMANTOID,BORAX,BOURNONITE
10022.64,84.3264,ERIONITE,SULFUR,SYLVITE
21392.21,211.2221,ICE,SYLVITE,ROSE_QUARTZ
35576.88,358.7688,CLEAVELANDITE,ALTAITE,PARISITE
23211.24,245.9124,SINHALITE,ICE,HEULANDITE
14903.42,153.7342,DEMANTOID,PYROAURITE,HOWLITE
16790.84,175.3084,CUBANITE,BERLINITE,PHLOGOPITE
17467.74,180.2774,PHLOGOPITE,ARAGONITE,BLODITE
979.83,1.0983,SINHALITE,KUNZITE,SMITHSONITE
2235.85,28.0585,SAINFELDITE,ARSENIC,HEMATITE
20201,204.01,ARSENIC,ACANTHITE,BIF
23751.49,251.0149,ILVAITE,ANDESINE,ERIONITE
2874.64,38.8464,GEODES,SCHORL,ANTIMONY
17366.78,188.2678,HEULANDITE,BORNITE,CLINOPTILOLITE
12129.54,117.8954,SYLVITE,OBSIDIAN,ENSTATITE
6345.52,74.3552,KOVDORSKITE,HOPEITE,BERLINITE
1779.82,20.1982,SCORODITE,ICE,ALTAITE
21846.95,234.4695,SULFUR,CORDYLITE,BIF
4155.97,53.3597,HUREAULITE,BOLEITE,STURMANITE
10429.5,88.395,STURMANITE,TALC,PYROMORPHITE
16506.03,181.8603,PYROAURITE,GMELINITE,SELENITE
15400.99,186.1099,SAINFELDITE,OBSIDIAN,PYROMORPHITE
2412.33,19.1233,CUBANITE,ARSENIC,GORMANITE
8635.16,85.9516,ANDERSONITE,SUNSTONE,SAINFELDITE
1564.57,38.4457,SCORODITE,KUNZITE,TREMOLITE
15241.8,164.218,CLINOHEDRITE,KUNZITE,TALC
15201.46,178.4146,SCORODITE,BROOKITE,GORMANITE
13182.04,147.5204,CLINOHEDRITE,NICKELINE,SCORODITE
4484.89,59.7489,BERLINITE,ANDALUSITE,KUNZITE
2558.54,34.9854,PARASYMPLESITE,GMELINITE,HUREAULITE
4514.55,63.8455,CUBANITE,GMELINITE,KUNZITE
4819.85,38.4985,ALTAITE,CUBANITE,DIOPSIDE
1547.41,23.4741,OSUMILITE,ROSE_QUARTZ,HOWLITE
6345.86,83.3586,ERIONITE,CLINOHEDRITE,DESCLOIZITE
8047.95,93.6795,ANDESINE,TALC,BROOKITE
4591.95,74.5195,BARATOVITE,DIOPSIDE,GIBBSITE
6004.69,76.4469,BOURNONITE,BLODITE,HINSDALITE
19201.43,212.7143,RHODIZITE,ERIONITE,ARTINITE
9631.37,102.0137,CLINOHEDRITE,PARASYMPLESITE,PARAVAUXITE
30695.63,296.0563,HOPEITE,NICKELINE,SCHORL
7416.08,76.9608,SENARMONTITE,HINSDALITE,CLEAVELANDITE
13722.93,151.3293,TREMOLITE,SCORODITE,SILVER
6301.69,79.4169,NEPHELINE,STELLERITE,CLINOPTILOLITE
14490.74,169.3074,BORAX,SCORODITE,BASALT
15272.24,148.9224,HOWLITE,SILVER,BIF
20174.92,193.0492,ROSASITE,ALTAITE,SENARMONTITE
8021.67,97.1167,CLEAVELANDITE,GMELINITE,TELLURIUM
1746.81,28.0681,HOWLITE,THOMSONITE,OBSIDIAN
1408.52,29.3852,CLINOHEDRITE,MALACHITE,BORNITE
1807.85,28.3785,SILVER,SEMSEYITE,ILVAITE
12879.9,143.299,FLUORAPATITE,BERLINITE,SELENITE
6766.7,79.767,GAYLUSSITE,OSUMILITE,DIOPSIDE
7034.07,82.8407,BOURNONITE,ANTIMONY,HUMITE
32734.95,340.1495,CLINOHEDRITE,BLODITE,SENARMONTITE
13828.15,139.0815,OBSIDIAN,ANDALUSITE,CLINOPTILOLITE
5531.51,71.8151,HOWLITE,COAL,BASALT
10272.49,118.7249,PERIDOT,DIAMOND,CUMMINGTONITE
20659.41,218.1941,PARASYMPLESITE,BORNITE,ALTAITE
9976.86,110.2686,RUBY,PHLOGOPITE,GORMANITE
11181.16,106.6116,PARASYMPLESITE,NEPHELINE,CHLORITE
33539.54,329.0954,GAYLUSSITE,PUCHERITE,PHOSPHATES
20417.94,202.5794,NICKELINE,PLATINUM,CLINOPTILOLITE
2608.82,33.8882,ALMANDINE,BIF,BLODITE
15673.48,183.3348,STURMANITE,ERIONITE,TREMOLITE
17688.98,180.4898,STELLERITE,ROSE_QUARTZ,BORNITE
10472.63,113.9263,BORAX,NEPHELINE,BOURNONITE
9932.17,110.4217,STELLERITE,GORMANITE,THOMSONITE
7230.21,72.2021,ARTINITE,PUCHERITE,ERIONITE
13490.02,145.4002,SILVER,CACOXENITE,OSUMILITE
4734.01,64.4401,CHRYSOBERYL,PLATINUM,PARAVAUXITE
15180.56,170.9056,MELANOPHLOGITE,PARISITE,ANDESINE
2040.22,33.8022,DEMANTOID,ALTAITE,PERIDOT
10508.62,128.1862,ARAGONITE,STURMANITE,GIBBSITE
22503.94,231.5394,PARASYMPLESITE,CUBANITE,CHRYSOBERYL
13614.68,172.9468,BOURNONITE,ACANTHITE,OSUMILITE
9432.56,122.4256,ANTIMONY,TALC,HUREAULITE
4279.92,60.2992,TELLURIUM,STELLERITE,STURMANITE
16385.43,162.9543,ANDESINE,GORMANITE,GEODES
13320.03,135.8003,HUMITE,MALACHITE,KOVDORSKITE
3161.33,18.0133,GAYLUSSITE,ANTIMONY,RUBY
9502.14,120.9214,ROSASITE,PHLOGOPITE,BOURNONITE
3968.35,60.4835,SAINFELDITE,CHLORITE,PYROAURITE
26342.84,269.6284,PUCHERITE,ACANTHITE,SUNSTONE
35934.69,369.6469,SELENITE,SYLVITE,RHODIZITE
6399.45,44.2945,CUBANITE,GIBBSITE,PYROMORPHITE
16668.18,159.1818,CHRYSOBERYL,CACOXENITE,CHLORITE
19997.6,210.576,SAINFELDITE,FLUORAPATITE,SUNSTONE
27520.29,278.4029,SINHALITE,BOLEITE,GIBBSITE
9485.4,105.754,SILVER,GMELINITE,GAYLUSSITE
415.71,21.0571,SINHALITE,CLEAVELANDITE,SYLVITE
15687.79,150.7779,SAINFELDITE,HINSDALITE,HOWLITE
4790.99,65.3099,KOVDORSKITE,STURMANITE,GIBBSITE
14510.49,150.1049,ALBITE,RHODIZITE,PHOSPHATES
12453.89,123.9389,BARATOVITE,PARISITE,HOPEITE
4063.98,46.0398,SCORODITE,KOTTIGITE,BORNITE
14511.19,142.2119,ROSE_QUARTZ,HEMATITE,KOVDORSKITE
25.33,27.7533,SENARMONTITE,ARSENIC,TAAFFEITE
11551.52,138.7152,THOMSONITE,CARNOTITE,SENARMONTITE
6789.01,72.6901,CORDYLITE,PUCHERITE,SINHALITE
14165.21,161.9521,TELLURIUM,PHOSPHATES,HUREAULITE
10802.48,131.6248,GMELINITE,SCORODITE,BARATOVITE
12357.17,127.1717,ENSTATITE,BLODITE,NICKELINE
7890.28,86.6028,ROSASITE,SUNSTONE,SILVER
14594.75,137.5475,BASALT,ILVAITE,CACOXENITE
10075.63,101.2563,ANDALUSITE,ARAGONITE,RUBY
4514.47,45.1447,HUREAULITE,ALMANDINE,DIOPSIDE
7708.49,88.3849,MELANOPHLOGITE,ALMANDINE,SYLVITE
26825.34,254.4534,COAL,GAYLUSSITE,DESCLOIZITE
12718.87,129.1887,PYROAURITE,ICE,BERLINITE
15350.87,164.0087,ERIONITE,CHLORITE,SELENITE
10608.97,120.7897,ARSENIC,ROSASITE,SCHORL
37219.82,381.0982,RUBY,SEMSEYITE,STELLERITE
11757.79,124.9779,CACOXENITE,MALACHITE,SILVER
5835.09,61.5509,SCORODITE,CLEAVELANDITE,MALACHITE
28345.37,314.6537,SINHALITE,BERLINITE,BIF
1570.2,9.502,CUMMINGTONITE,FLUORAPATITE,TALC
13128.43,126.2843,PERIDOT,PYROMORPHITE,GORMANITE
21323.03,223.8303,ARFVEDSONITE,PUCHERITE,TELLURIUM
1103.85,2.7385,SEMSEYITE,BORAX,ROSE_QUARTZ
2663.33,42.7333,BASALT,BOURNONITE,PARAVAUXITE
9975.59,115.4559,DESCLOIZITE,TREMOLITE,CARNOTITE
30072.89,325.8289,NEPTUNITE,BARATOVITE,PHOSPHATES
5271.42,58.9142,BORAX,CUMMINGTONITE,SINHALITE
5897.12,82.9712,KUNZITE,SUNSTONE,ENSTATITE
5289.14,70.4914,CUBANITE,CUMMINGTONITE,BROOKITE
11173.25,117.9325,ALMANDINE,ANDESINE,MARCASITE
28511.85,310.8185,ANDESINE,ALMANDINE,DATOLITE
22923.87,251.8387,SMITHSONITE,CLINOHEDRITE,ANDERSONITE
11641.54,111.7154,TAAFFEITE,TREMOLITE,ROSE_QUARTZ
36717.53,366.3753,BLODITE,RUBY,CLINOHEDRITE
17300.48,178.3048,BOLEITE,ARFVEDSONITE,HUREAULITE
20662.1,213.121,HEULANDITE,HINSDALITE,DESCLOIZITE
11544.61,123.7461,ENSTATITE,BOLEITE,NEPHELINE
6934.52,77.3452,BLODITE,SMITHSONITE,HUREAULITE
11748.85,134.3885,RUBY,BOURNONITE,SCORODITE
1966.24,27.4624,KOVDORSKITE,GORMANITE,BORAX
10520.37,102.1037,FLUORAPATITE,ERIONITE,SILICATES
9401.82,121.7182,GAYLUSSITE,BLODITE,ANDALUSITE
20545.3,203.153,ARAGONITE,GEODES,CUBANITE
14533.24,166.9324,GMELINITE,CUBANITE,ARSENIC
34325.28,348.4528,NEPHELINE,ALBITE,MALACHITE
6097.06,60.9706,ANDALUSITE,SMITHSONITE,SUNSTONE
19633.1,201.431,CUBANITE,TELLURIUM,ANTIMONY
13713.02,152.4302,BOLEITE,CORDYLITE,ILVAITE
2201.55,33.6155,ACANTHITE,CLINOPTILOLITE,PHOSPHATES
31906.04,335.0604,HINSDALITE,HUMITE,BROOKITE
305.66,7.9566,CHLORITE,ROSASITE,DEMANTOID
2630.98,25.1098,BIF,KOVDORSKITE,COAL
10902.94,126.1294,ARSENIC,BIF,BERLINITE
4342.5,56.325,SEMSEYITE,BOURNONITE,DEMANTOID
422.23,31.0223,STURMANITE,TREMOLITE,ROSASITE
14339.81,153.7981,PUCHERITE,CHRYSOBERYL,THOMSONITE
4234.54,62.0454,PLATINUM,CHRYSOBERYL,BOURNONITE
17389.24,180.9924,NEPHELINE,ILVAITE,PARASYMPLESITE
11332.51,117.1251,PUCHERITE,SUNSTONE,SINHALITE
707.75,39.0775,SELENITE,PUCHERITE,ICE
14149.74,163.3974,CACOXENITE,KUNZITE,DIOPSIDE
3639.64,59.8964,TREMOLITE,PARISITE,ARSENIC
36926.43,378.7643,ROSE_QUARTZ,BOURNONITE,CARNOTITE
13800.06,142.0006,GAYLUSSITE,CHLORITE,TELLURIUM
2045.4,14.754,BARATOVITE,MARCASITE,KUNZITE
38281.55,402.8155,DESCLOIZITE,SINHALITE,FLUORAPATITE
9337.62,101.1762,HOPEITE,CUBANITE,ENSTATITE
13044.05,137.5405,CLEAVELANDITE,SILICATES,SMITHSONITE
7420.81,78.3081,CUMMINGTONITE,HOWLITE,KUNZITE
24024.35,254.8435,SMITHSONITE,OSUMILITE,CUBANITE
14469.26,156.8926,PARASYMPLESITE,HUREAULITE,MALACHITE
30504.3,330.343,ANTIMONY,KOTTIGITE,GAYLUSSITE
17155.42,191.1542,BIF,FLUORAPATITE,RHODIZITE
11015.12,113.3512,RUBY,SCHORL,DIOPSIDE
12100.19,120.4019,SMITHSONITE,SILVER,NEPHELINE
6319.21,76.1921,OSUMILITE,FLUORAPATITE,STELLERITE
982.01,28.0201,BOLEITE,ILVAITE,HINSDALITE
14497.32,162.0732,ANTIMONY,BORNITE,HEULANDITE
4142.64,44.3264,CHLORITE,ILVAITE,PHOSPHATES
16115.15,171.9515,BOURNONITE,DEMANTOID,ENSTATITE
665.3,9.453,OBSIDIAN,ROSE_QUARTZ,OSUMILITE
16504.99,171.7499,GEODES,GAYLUSSITE,CARNOTITE
1885.95,30.2595,SYLVITE,BLODITE,HUMITE
11374.61,125.2461,PARISITE,HINSDALITE,SULFUR
45341.17,468.3117,TALC,CUBANITE,ANDALUSITE
620.92,11.2092,PARISITE,NEPHELINE,STURMANITE
25416.54,271.9654,SCORODITE,STELLERITE,DEMANTOID
5820.96,68.0096,GORMANITE,SYLVITE,ILVAITE
10853.89,130.2389,NEPHELINE,BIF,ANTIMONY
2895.37,34.2537,ALTAITE,CHLORITE,FLUORAPATITE
14507.32,146.0732,SUNSTONE,HUREAULITE,BORNITE
7052.64,80.2264,BARATOVITE,STELLERITE,HEMATITE
13429.39,155.7939,SAINFELDITE,ANDALUSITE,OBSIDIAN
4955.56,54.3556,MARCASITE,ARSENIC,GMELINITE
2203.29,38.8329,OBSIDIAN,ANDESINE,NEPTUNITE
28796.17,288.0617,CUBANITE,TAAFFEITE,NEPTUNITE
27944.55,285.5455,BIF,OSUMILITE,CACOXENITE
10880.91,128.2091,TALC,SAINFELDITE,NICKELINE
17133.62,179.9362,RHODIZITE,SMITHSONITE,PUCHERITE
24411.53,262.7153,SENARMONTITE,SEMSEYITE,HEMATITE
4090.41,59.2041,THOMSONITE,KUNZITE,BORNITE
20151.6,218.416,GIBBSITE,MALACHITE,HUMITE
39289.28,388.2928,DIOPSIDE,TAAFFEITE,KOTTIGITE
20607.76,218.2776,HEULANDITE,CARNOTITE,PARAVAUXITE
18625.4,203.954,CLINOHEDRITE,STELLERITE,CHLORITE
161.54,19.8154,COAL,SEMSEYITE,SAINFELDITE
142.81,18.9281,CLINOPTILOLITE,HUMITE,CLINOHEDRITE
9660.38,100.7038,ANDALUSITE,PHLOGOPITE,ACANTHITE
18170.53,182.2053,SEMSEYITE,DEMANTOID,ARSENIC
7095.43,68.8543,ROSASITE,MALACHITE,BLODITE
2787.2,15.572,SCORODITE,CACOXENITE,PLATINUM
31804.92,307.1492,ACANTHITE,DIOPSIDE,GORMANITE
8626.26,91.6626,CLEAVELANDITE,PHLOGOPITE,SENARMONTITE
13348.98,148.6898,GORMANITE,OBSIDIAN,GMELINITE
2977.04,40.6704,HINSDALITE,GMELINITE,HOWLITE
8444.99,105.2499,MARCASITE,BASALT,CLEAVELANDITE
24223.32,242.9332,HOWLITE,TALC,DIAMOND
37082.44,393.4244,CLEAVELANDITE,PARISITE,ARSENIC
7854.79,98.9479,RHODIZITE,ALBITE,DATOLITE
135.34,16.6534,GAYLUSSITE,NICKELINE,HUREAULITE
4383.56,67.0356,DEMANTOID,TAAFFEITE,ROSASITE
20313.07,219.2307,BORAX,ENSTATITE,GEODES
12692.4,126.424,CLINOHEDRITE,CLEAVELANDITE,BOLEITE
24457.1,245.571,ANDESINE,MALACHITE,ICE
3724.2,61.542,CHLORITE,SMITHSONITE,THOMSONITE
9402.49,119.2249,ACANTHITE,CLEAVELANDITE,SINHALITE
6881.83,99.4183,CORDYLITE,CHRYSOBERYL,BIF
12507.5,134.875,GAYLUSSITE,ARAGONITE,PARASYMPLESITE
5470.61,76.2061,PARAVAUXITE,BORNITE,CUBANITE
11856.37,133.6637,TELLURIUM,BORNITE,SCHORL
11135.51,134.1551,NICKELINE,DEMANTOID,ANDESINE
3973.18,57.0318,GAYLUSSITE,ARTINITE,CARNOTITE
27153.08,300.0308,GEODES,BORAX,CACOXENITE
24184.08,247.4408,PYROMORPHITE,ALTAITE,BIF
1508.41,36.1841,CLINOPTILOLITE,BORNITE,OBSIDIAN
8028.72,84.2872,ROSASITE,PARISITE,PYROAURITE
23034.36,229.8436,STELLERITE,BORAX,SULFUR
32276.44,342.0644,ARFVEDSONITE,ANDALUSITE,SEMSEYITE
8539.44,104.0944,CHRYSOBERYL,ERIONITE,ENSTATITE
7351.23,93.6123,CUMMINGTONITE,ERIONITE,SMITHSONITE
2351.19,25.0119,BARATOVITE,ALTAITE,GEODES
17172.5,175.225,SINHALITE,KOVDORSKITE,ALBITE
265.35,14.6535,CACOXENITE,COAL,SILVER
4416.69,51.7669,ALMANDINE,SILVER,SCHORL
7048.41,80.6841,GMELINITE,SUNSTONE,DIAMOND
7510.76,81.5076,PARISITE,ARFVEDSONITE,CHRYSOBERYL
1587.74,17.3774,RHODIZITE,PARAVAUXITE,GIBBSITE
9820.14,104.6014,DIOPSIDE,CHLORITE,SYLVITE
17397.75,200.7775,DEMANTOID,DIOPSIDE,SINHALITE
11182.04,123.3204,NICKELINE,CARNOTITE,CHLORITE
23723.26,252.1326,HUMITE,MELANOPHLOGITE,BOURNONITE
3330.41,52.0041,PHOSPHATES,CHRYSOBERYL,PYROAURITE
12834.19,150.5419,ALMANDINE,HINSDALITE,ARFVEDSONITE
2341.01,45.6101,KUNZITE,SEMSEYITE,DIAMOND
9131.31,104.5131,PHOSPHATES,ICE,PUCHERITE
1421.03,14.4103,BIF,PHOSPHATES,STELLERITE
23588.92,262.4892,ARFVEDSONITE,ALTAITE,HEULANDITE
26602.49,266.4249,DEMANTOID,BOLEITE,BROOKITE
2134.55,30.0455,CACOXENITE,SUNSTONE,CUMMINGTONITE
21212.19,232.6219,BLODITE,CUMMINGTONITE,KOTTIGITE
10236.54,130.6654,ARTINITE,BLODITE,HEULANDITE
7176.94,70.6694,SEMSEYITE,BROOKITE,GMELINITE
1617.89,33.4789,CUMMINGTONITE,SCHORL,SILICATES
12245.78,125.4578,PLATINUM,MALACHITE,SAINFELDITE
3252.82,40.7282,ALBITE,SULFUR,GEODES
6272.14,79.6214,GORMANITE,ILVAITE,NEPTUNITE
6925.47,87.4547,ALBITE,CLINOHEDRITE,SULFUR
7347.66,87.5766,ANDESINE,SYLVITE,GEODES
23357.16,232.6716,GMELINITE,ACANTHITE,PLATINUM
1920.09,43.3009,GORMANITE,FLUORAPATITE,BIF
9775.53,109.4553,COAL,BARATOVITE,KOVDORSKITE
12340.69,130.1069,ALBITE,TAAFFEITE,SCORODITE
16913.49,181.4349,CLEAVELANDITE,CUMMINGTONITE,COAL
22389.1,238.891,PYROAURITE,COAL,CARNOTITE
4098.22,38.4822,SYLVITE,CORDYLITE,NICKELINE
28290.49,298.8049,PHLOGOPITE,COAL,PYROMORPHITE
11980.75,128.8075,HUMITE,CHRYSOBERYL,ARSENIC
444.96,13.0496,HINSDALITE,KUNZITE,ROSE_QUARTZ
774.17,24.2417,ANDERSONITE,SELENITE,NEPTUNITE
3009.48,44.1948,ARTINITE,HUMITE,KOTTIGITE
19372.89,216.7289,ALBITE,BIF,ENSTATITE
4787.01,50.7701,ENSTATITE,TAAFFEITE,PYROAURITE
24564.6,244.346,NICKELINE,HINSDALITE,HOWLITE
17148.94,188.8894,ARSENIC,CARNOTITE,HEMATITE
20953.79,239.3379,DEMANTOID,ROSE_QUARTZ,BROOKITE
19276.16,215.3616,CLINOHEDRITE,SUNSTONE,ALTAITE
26044.59,281.5459,SUNSTONE,ALTAITE,SELENITE
14749.83,170.1983,SILVER,BOLEITE,ARAGONITE
34480.51,342.6051,SILVER,TREMOLITE,ANDALUSITE
4362.11,52.9211,ACANTHITE,CUBANITE,PARISITE
1980.23,29.8023,SELENITE,DESCLOIZITE,PHOSPHATES
10878.49,119.2849,SYLVITE,CACOXENITE,PUCHERITE
10089.51,102.1951,ARTINITE,DATOLITE,CLINOPTILOLITE
9400.01,89.2001,OBSIDIAN,ANDERSONITE,SILVER
28988.76,310.1876,CLEAVELANDITE,SAINFELDITE,FLUORAPATITE
1555.21,27.3521,CLINOHEDRITE,ARTINITE,CUMMINGTONITE
23885.93,246.3593,ARSENIC,ANDALUSITE,MARCASITE
12913.73,152.7373,ARFVEDSONITE,HUREAULITE,DATOLITE
